Method_ID,Reference_sample_ID
hermann2017jasra_th,hermann2017jasra_th-JB-2
hermann2017jasra_th,hermann2017jasra_th-AC-E
hermann2017jasra_th,hermann2017jasra_th-WSE
hermann2017jasrb_sr87sr86,hermann2017jasrb_sr87sr86-NBS 987
hermann2017jasrc_pb206pb204,hermann2017jasrc_pb206pb204-NBS 981
hermann2017jasrc_pb207pb204,hermann2017jasrc_pb207pb204-NBS 981
hermann2017jasrc_pb208pb204,hermann2017jasrc_pb208pb204-NBS 981
kahn2008nzjaa_sio2,kahn2008nzjaa_sio2-BHVO-2
kahn2008nzjaa_tio2,kahn2008nzjaa_tio2-BHVO-2
kahn2008nzjaa_al2o3,kahn2008nzjaa_al2o3-BHVO-2
kahn2008nzjaa_cao,kahn2008nzjaa_cao-BHVO-2
kahn2008nzjaa_mgo,kahn2008nzjaa_mgo-BHVO-2
kahn2008nzjaa_k2o,kahn2008nzjaa_k2o-BHVO-2
kahn2008nzjaa_na2o,kahn2008nzjaa_na2o-BHVO-2
kahn2008nzjaa_v,kahn2008nzjaa_v-BHVO-2
kahn2008nzjaa_fe,kahn2008nzjaa_fe-BHVO-2
kahn2008nzjaa_ni,kahn2008nzjaa_ni-BHVO-2
kahn2008nzjaa_cu,kahn2008nzjaa_cu-BHVO-2
kahn2008nzjaa_zn,kahn2008nzjaa_zn-BHVO-2
kahn2008nzjaa_rb,kahn2008nzjaa_rb-BHVO-2
kahn2008nzjaa_sr,kahn2008nzjaa_sr-BHVO-2
kahn2008nzjaa_y,kahn2008nzjaa_y-BHVO-2
kahn2008nzjaa_zr,kahn2008nzjaa_zr-BHVO-2
kahn2008nzjaa_nb,kahn2008nzjaa_nb-BHVO-2
kahn2013jasa_sio2,kahn2013jasa_sio2-BHVO-2
kahn2013jasa_tio2,kahn2013jasa_tio2-BHVO-2
kahn2013jasa_al2o3,kahn2013jasa_al2o3-BHVO-2
kahn2013jasa_cao,kahn2013jasa_cao-BHVO-2
kahn2013jasa_mgo,kahn2013jasa_mgo-BHVO-2
kahn2013jasa_mno,kahn2013jasa_mno-BHVO-2
kahn2013jasa_k2o,kahn2013jasa_k2o-BHVO-2
kahn2013jasa_v,kahn2013jasa_v-BHVO-2
kahn2013jasa_ni,kahn2013jasa_ni-BHVO-2
kahn2013jasa_cu,kahn2013jasa_cu-BHVO-2
kahn2013jasa_zn,kahn2013jasa_zn-BHVO-2
kahn2013jasa_rb,kahn2013jasa_rb-BHVO-2
kahn2013jasa_sr,kahn2013jasa_sr-BHVO-2
kahn2013jasa_y,kahn2013jasa_y-BHVO-2
kahn2013jasa_zr,kahn2013jasa_zr-BHVO-2
kahn2013jasa_nb,kahn2013jasa_nb-BHVO-2
kahn2013jasa_na2o,kahn2013jasa_na2o-BHVO-2
kirch2015aoa_sio2,kirch2015aoa_sio2-BHVO-2 (5-12.1)
kirch2015aoa_sio2,kirch2015aoa_sio2-BHVO-2 (3-13.1)
kirch2015aoa_tio2,kirch2015aoa_tio2-BHVO-2 (5-12.1)
kirch2015aoa_tio2,kirch2015aoa_tio2-BHVO-2 (3-13.1)
kirch2015aoa_al2o3,kirch2015aoa_al2o3-BHVO-2 (5-12.1)
kirch2015aoa_al2o3,kirch2015aoa_al2o3-BHVO-2 (3-13.1)
kirch2015aoa_cao,kirch2015aoa_cao-BHVO-2 (5-12.1)
kirch2015aoa_cao,kirch2015aoa_cao-BHVO-2 (3-13.1)
kirch2015aoa_mgo,kirch2015aoa_mgo-BHVO-2 (5-12.1)
kirch2015aoa_mgo,kirch2015aoa_mgo-BHVO-2 (3-13.1)
kirch2015aoa_mno,kirch2015aoa_mno-BHVO-2 (5-12.1)
kirch2015aoa_mno,kirch2015aoa_mno-BHVO-2 (3-13.1)
kirch2015aoa_k2o,kirch2015aoa_k2o-BHVO-2 (5-12.1)
kirch2015aoa_k2o,kirch2015aoa_k2o-BHVO-2 (3-13.1)
kirch2015aoa_na2o,kirch2015aoa_na2o-BHVO-2 (5-12.1)
kirch2015aoa_na2o,kirch2015aoa_na2o-BHVO-2 (3-13.1)
kirch2015aoa_v,kirch2015aoa_v-BHVO-2 (5-12.1)
kirch2015aoa_v,kirch2015aoa_v-BHVO-2 (3-13.1)
kirch2015aoa_fe,kirch2015aoa_fe-BHVO-2 (5-12.1)
kirch2015aoa_fe,kirch2015aoa_fe-BHVO-2 (3-13.1)
kirch2015aoa_ni,kirch2015aoa_ni-BHVO-2 (5-12.1)
kirch2015aoa_ni,kirch2015aoa_ni-BHVO-2 (3-13.1)
kirch2015aoa_cu,kirch2015aoa_cu-BHVO-2 (5-12.1)
kirch2015aoa_cu,kirch2015aoa_cu-BHVO-2 (3-13.1)
kirch2015aoa_zn,kirch2015aoa_zn-BHVO-2 (5-12.1)
