Source_ID,Sample_ID,scope
charleux2014,charleux2014_Eiao-379,sample
charleux2014,charleux2014_Eiao-379,artefact
charleux2014,charleux2014_Eiao-381a,sample
charleux2014,charleux2014_Eiao-381a,artefact
charleux2014,charleux2014_Eiao-381b,sample
charleux2014,charleux2014_Eiao-381b,artefact
charleux2014,charleux2014_Eiao-382,sample
charleux2014,charleux2014_Eiao-382,artefact
charleux2014,charleux2014_Eiao-384,sample
charleux2014,charleux2014_Eiao-384,artefact
charleux2014,charleux2014_Eiao-385,sample
charleux2014,charleux2014_Eiao-385,artefact
charleux2014,charleux2014_Eiao-386,sample
charleux2014,charleux2014_Eiao-386,artefact
charleux2014,charleux2014_Eiao-389,sample
charleux2014,charleux2014_Eiao-389,artefact
charleux2014,charleux2014_Eiao-396,sample
charleux2014,charleux2014_Eiao-396,artefact
charleux2014,charleux2014_Eiao-399,sample
charleux2014,charleux2014_Eiao-399,artefact
charleux2014,charleux2014_Eiao-413,sample
charleux2014,charleux2014_Eiao-413,artefact
charleux2014,charleux2014_Eiao-435,sample
charleux2014,charleux2014_Eiao-435,artefact
charleux2014,charleux2014_Eiao-438,sample
charleux2014,charleux2014_Eiao-438,artefact
charleux2014,charleux2014_Eiao-441,sample
charleux2014,charleux2014_Eiao-441,artefact
charleux2014,charleux2014_Eiao-444,sample
charleux2014,charleux2014_Eiao-444,artefact
charleux2014,charleux2014_Eiao-450,sample
charleux2014,charleux2014_Eiao-450,artefact
charleux2014,charleux2014_Eiao-452,sample
charleux2014,charleux2014_Eiao-452,artefact
charleux2014,charleux2014_Eiao-454,sample
charleux2014,charleux2014_Eiao-454,artefact
charleux2014,charleux2014_Eiao-467,sample
charleux2014,charleux2014_Eiao-467,artefact
charleux2014,charleux2014_Eiao-475,sample
charleux2014,charleux2014_Eiao-475,artefact
charleux2014,charleux2014_Eiao-479,sample
charleux2014,charleux2014_Eiao-479,artefact
charleux2014,charleux2014_Eiao-482,sample
charleux2014,charleux2014_Eiao-482,artefact
charleux2014,charleux2014_Eiao-484,sample
charleux2014,charleux2014_Eiao-484,artefact
charleux2014,charleux2014_Eiao-489,sample
charleux2014,charleux2014_Eiao-489,artefact
charleux2014,charleux2014_Eiao-492A,sample
charleux2014,charleux2014_Eiao-492A,artefact
charleux2014,charleux2014_Eiao-492B,sample
