ID,Entry_Type,address,author,booktitle,collaborator,copyright,doi,edition,editor,eprint,eprinttype,googlebooks,ids,institution,isbn,issn,journal,jstor,keywords,langid,month,note,number,pages,pmcid,publisher,school,series,shorttitle,title,type,urldate,volume,year
ross-sheppard2013,article,,"{Ross-Sheppard}, Callan and Sand, Christophe and Balenaivalu, Jone and Burley, David V.",,,,,,,,,,,,,1179-4712,Journal of Pacific Archaeology,,"Fiji,Kutau/Bao Obsidian,Lapita",english,August,,2,79--83,,,,,,Kutau/{{Bao Obsidian}} -- {{Extending}} Its {{Eastern Distribution}} into the {{Fijian Northeast}},,2021-05-18,4,2013
rozier1971,techreport,Honolulu,"Rozier, S.N.",,,,,,,,,,,"Department of Anthropology, BPBM",,,,,,,,,71-11,,,,,,,"Archaeological {{Excavations}} at {{Kamehameha III Road}}, {{North Kona}}, {{Island}} of {{Hawaii}}, {{Phase II}}",,,,1971
sand1998,article,,"Sand, Christophe",,,,,,,20706768,jstor,,,,,0032-4000,Journal of the Polynesian Society,20706768,,,,,1,7--33,,,,,,"Archaeological {{Report}} on {{Localities WKO013A}} and {{WKO013B}} at the {{Site}} of {{Lapita}} ({{Kon\'e}}, {{New Caledonia}})",,2019-10-16,107,1998
sand1999,article,,"Sand, Christophe",,,,10.2307/530516,,,530516,jstor,,,,,0093-4690,Journal of Field Archaeology,530516,,,,,3,307--323,,"[Maney Publishing, Trustees of Boston University]",,,The {{Beginning}} of {{Southern Melanesian Prehistory}},"The {{Beginning}} of {{Southern Melanesian Prehistory}}: {{The St Maurice-Vatcha Lapita Site}}, {{New Caledonia}}",,2023-06-23,26,1999
sand2000,article,,"Sand, Christophe and Sheppard, Peter J",,,,10.1016/S1251-8050(00)01411-7,,,,,,,,,1251-8050,Comptes Rendus de l'Acad\'emie des Sciences - Series IIA - Earth and Planetary Science,,"complexe culturel Lapita,echanges,exchange,Lapita Cultural Complex,New Caledonia,Nouvelle-Caledonie,obsidian,obsidienne,Pacifique sud,South Pacific,Talasea",,August,,3,235--243,,,,,Long Distance Prehistoric Obsidian Imports in {{New Caledonia}},Long Distance Prehistoric Obsidian Imports in {{New Caledonia}}: {{Characteristics}} and Meaning,,2019-10-12,331,2000
schilt1984,techreport,Honolulu,"Schilt, A.R.",,,,,,,,,,,"Department of Anthropology, BPBM",,,,,,,,,84-1,,,,,,,"Subsistence and Conflict in {{Kona}}, {{Hawai}}'i: {{An}} Archaeological Study of the {{Kuakini Highway Realignment Corridor}}",,,,1984
seelenfreund-hirsch1985,phdthesis,,"{Seelenfreund-Hirsch}, Andrea Claudia",,,,,,,,,,,,,,,,,english,December,,,,,,University of Otago,,,The Exploitation of {{Mayor Island}} Obsidian in Prehistoric {{New Zealand}},,2020-10-20,,1985
sewell1992,techreport,,"Sewell, B.",,,,,,,,,,,"Auckland Conservancy Historic Resource Series, 1. Department of Conservation.",,,,,,,,,,,,,,,,"Further Excavations at the {{Westfield}} Site ({{R11}}/898), {{Tamaki}}, {{Auckland}}",,,,1992
shaw2021,article,,"Shaw, Ben and Irwin, Geoff and Pengilley, Alana and Kelloway, Sarah",,,,10.1002/arco.5224,,,,,,,,,,Archaeology in Oceania,,,,,,,32--44,,,,,,"Village-Specific {{Kula}} Partnerships Revealed by Obsidian Sourcing on {{Tubetube Island}}, {{Papua New Guinea}}",,,56,2021
sheppard1997,incollection,,"Sheppard, Peter J. and Walter, Richard K. and Parker, Robin J.",Prehistoric {{Long-Distance Interaction}} in {{Oceania}}: {{An Interdisciplinary Approach}},,,,,"Weisler, Marshall I.",,,,,,,,,,"Commerce,Oceania,Prehistoric,Social Science / Anthropology / General",english,,Sheppard-1997-Cook,,85--110,,New Zealand Archaeological Association,,,,Basalt Sourcing and the Development of {{Cook Islands}} Exchange Systems,,,,1997
sheppard2001,inbook,"Auckland, New Zealand","Sheppard, Peter J. and Sand, Christophe and Parker, Robin",Australasian {{Connections}} and {{New Directions}}: {{Proceedings}} of the 7th {{Australasian Archaeometry Conference}},"Jones, Martin and Sheppard, Peter",,,,,,,,,,,,,,,,,,,,,University of Auckland,,,,Sourcing {{Walpole Island}}: {{Problems}} and {{Prospects}} in {{Pacific Adze Sourcing}},,,,2001
sheppard2010,article,,"Sheppard, Peter and Trichereau, Barbara and Milicich, Cristany",,,,10.1002/j.1834-4453.2010.tb00074.x,,,,,,,,,1834-4453,Archaeology in Oceania,,"geochemistry,Lapita,Obsidian,XRF",english,,,1,21--30,,,,,,Pacific Obsidian Sourcing by Portable {{XRF}},,2021-05-18,45,2010
shipton2019,article,,"Shipton, Ceri and O'Connor, Sue and Reepmeyer, Christian and Kealy, Shimona and Jankowski, Nathan",,,,10.1080/15564894.2019.1581306,,,,,,,,,1556-4894,The Journal of Island and Coastal Archaeology,,"fishing,islands,lithics,mobility,seafaring,Southeast Asia",,July,,0,1--22,,Routledge,,,,"Shell {{Adzes}}, {{Exotic Obsidian}}, and {{Inter-Island Voyaging}} in the {{Early}} and {{Middle Holocene}} of {{Wallacea}}",,2020-10-20,0,2019
simpson2018,article,,"Simpson, Dale F. and Dussubieux, Laure",,,,10.1016/j.jasrep.2018.01.038,,,,,,,,,2352409X,Journal of Archaeological Science: Reports,,,english,April,,,370--385,,,,,A Collapsed Narrative?,A Collapsed Narrative? {{Geochemistry}} and Spatial Distribution of Basalt Quarries and Fine--Grained Artifacts Reveal Communal Use of Stone on {{Rapa Nui}} ({{Easter Island}}),,2018-04-19,18,2018
simpson2018a,article,,"Simpson, Dale F. and Weisler, Marshall I. and St Pierre, Emma J. and Feng, Yuexing and Bolhar, Robert",,,,10.1002/arco.5132,,,,,,,,,07284896,Archaeology in Oceania,,,english,April,,1,15--27,,,,,The Archaeological Documentation and Geochemistry of the {{Rua Tokitoki}} Adze Quarry and the {{Poike}} Fine-Grain Basalt Source on {{Rapa Nui}} ({{Easter Island}}),The Archaeological Documentation and Geochemistry of the {{Rua Tokitoki}} Adze Quarry and the {{Poike}} Fine-Grain Basalt Source on {{Rapa Nui}} ({{Easter Island}}): {{Rua Tokitoki}} Quarry and {{Poike}} Basalt Source on {{Rapa Nui}},,2018-04-19,53,2018
sinoto1965,techreport,Honolulu,"Sinoto, Yosihiko H. and Kellum, Marimari",,,,,,,,,,,Bernice P. Bishop Museum,,,,,,,,,,,,,,,,"Preliminary {{Report}} on {{Excavations}} in the {{Marquesas Islands}}, {{French Polynesia}}. {{Unpublished}} Report",,,,1965
sinoto1970a,techreport,Honolulu,"Sinoto, Yosihiko H. and Kelly, Marion A.",,,,,,,,,,,"Department of Anthropology, BPBM",,,,,,,,,70-11,,,,,,,"Archaeological and {{Historical Survey}} of {{Pakini-nui}} and {{Pakini-iki Coastal Sites}}, {{Waiahukini}}, {{Kailikii}} and {{Hawea}}, {{Ka}}'u, {{Hawaii}}",,,,1970
sinoto1983,article,,"Sinoto, Yosihiko H.",,,,10.3406/jso.1983.2773,,,,,,,,,0300-953X,Journal de la Soci\'et\'e des oc\'eanistes,,,french,,,76,57--67,,,,,,{An analysis of Polynesian migrations based on the archaeological assessments},,2017-11-24,39,1983
sinton1997,incollection,,"Sinton, John and Sinoto, Yosihiko H.",Prehistoric {{Long-Distance Interaction}} in {{Oceania}}: {{An Interdisciplinary Approach}},,,,,"Weisler, Marshall I.",,,,,,,,,,"Commerce,Oceania,Prehistoric,Social Science / Anthropology / General",english,,,,194--204,,New Zealand Archaeological Association,,,,A Geochemical Database for {{Polynesian}} Adze Studies,,,,1997
sinton2015,article,,"Sinton, John M. and Sinoto, Yosihiko H.",,,,10.1016/j.jasrep.2015.09.019,,,,,,,,,2352-409X,Journal of Archaeological Science: Reports,,"Adze,Chemistry,Hawaii,Molokai",,December,,,401--408,,,,,,"Geochemical and Petrographic Evidence for Adze Production at {{Pu}}'u {{P\=apa}}'i, {{East Moloka}}'i, {{Hawai}}'i",,2026-07-01,4,2015
skinner1960,article,,"Skinner, Henry D.",,,,,,,20703829,jstor,,,,,0032-4000,Journal of the Polynesian Society,20703829,,,,,3,187--198,,,,,,"Excavations at {{Little Papanui}}, {{Otago Peninsula}}",,2019-09-23,69,1960
smith1993,techreport,,"Smith, Ian",,,,,,,,,,,N.Z. Historic Places Trust,,,,,,,,,,,,,,,,Preliminary {{Report}} on {{Excavations}} at {{Pleasant River Mouth}} ({{J43}}/1),,,,1993
soehren1964,techreport,Honolulu,"Soehren, Lloyd J.",,,,,,,,,,,"Department of Anthropology, BPBM",,,,,,,,,,,,,,,,"An {{Archaeological Survey}} of the {{Shores}} of {{Ouli}} and {{Kawaihae}}, {{South Kohala}}, {{Hawaii}}",,,,1964
