Primary analytical & method-specific metadata,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
METHOD IDENTIFICATION,,ANALYTICAL PROCEDURE,,,,,,ANALYTICAL ACCURACY & REPRODUCIBILITY ,,,,,DETECTION LIMIT,,TOTAL PROCEDURAL BLANK,,FRACTIONATION CORRECTION (ONLY FOR ISOTOPIC ANALYSES),,,,,NORMALIZATION,,
"Method code
[citation code][ _ ][A], [B] ; etc.",PARAMETER,Technique,Instrument,Laboratory,Analyst,Analysis date,Analysis comment,Reference sample name,Reference sample measured value,Reference uncertainty,Reference uncertainty unit,Number of measurements,Detection limit,Unit,Blank value,Unit,Parameter,Reference sample name,Value used for fractionation correction,Reference sample accepted value,Citation,Reference sample name,Reference sample accepted value,Citation
must match codes in TAB 2 COL AM,must match parameters in TAB 3 COL AN-ES,see drop-down list,,,,,,,,standard deviation,,leave blank if 1,,e.g. ppm,,e.g. ppm,e.g. Nd146_Nd144,e.g. La Jolla,e.g. 0.7219,i.e. from literature,if known,if applicable,,e.g. USGS
Clark-2014-PNAS_C,Hf,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Ta,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Pb,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Bi,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Th,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,U,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_D,Nd143_Nd144,MC-ICP-MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_D,Sr87_Sr86,MC-ICP-MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_D,Pb206_Pb204,MC-ICP-MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_D,Pb207_Pb204,MC-ICP-MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_D,Pb208_Pb204,MC-ICP-MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Collerson-2007-Science_A,SiO2,ICP-OES,Perkin Elmer Optima 3300DV,University of Queensland,"Collerson, Kenneth",,,BCR-2,54.77,0.11,%,,,,,,,,,,,,,
Collerson-2007-Science_A,TiO2,ICP-OES,Perkin Elmer Optima 3300DV,University of Queensland,"Collerson, Kenneth",,,BCR-2,2.38,0.11,%,,,,,,,,,,,,,
Collerson-2007-Science_A,Al2O3,ICP-OES,Perkin Elmer Optima 3300DV,University of Queensland,"Collerson, Kenneth",,,BCR-2,13.53,0.17,%,,,,,,,,,,,,,
Collerson-2007-Science_A,Fe2O3,ICP-OES,Perkin Elmer Optima 3300DV,University of Queensland,"Collerson, Kenneth",,,BCR-2,2.08,0.04,%,,,,,,,,,,,,,
Collerson-2007-Science_A,FeO,ICP-OES,Perkin Elmer Optima 3300DV,University of Queensland,"Collerson, Kenneth",,,BCR-2,10.59,0.19,%,,,,,,,,,,,,,
Collerson-2007-Science_A,MnO,ICP-OES,Perkin Elmer Optima 3300DV,University of Queensland,"Collerson, Kenneth",,,BCR-2,0.2,0.001,%,,,,,,,,,,,,,
Collerson-2007-Science_A,MgO,ICP-OES,Perkin Elmer Optima 3300DV,University of Queensland,"Collerson, Kenneth",,,BCR-2,3.63,0.03,%,,,,,,,,,,,,,
Collerson-2007-Science_A,CaO,ICP-OES,Perkin Elmer Optima 3300DV,University of Queensland,"Collerson, Kenneth",,,BCR-2,7.18,0.05,%,,,,,,,,,,,,,
Collerson-2007-Science_A,Na2O,ICP-OES,Perkin Elmer Optima 3300DV,University of Queensland,"Collerson, Kenneth",,,BCR-2,3.21,0.08,%,,,,,,,,,,,,,
Collerson-2007-Science_A,K2O,ICP-OES,Perkin Elmer Optima 3300DV,University of Queensland,"Collerson, Kenneth",,,BCR-2,1.81,0.03,%,,,,,,,,,,,,,
Collerson-2007-Science_A,P2O5,ICP-OES,Perkin Elmer Optima 3300DV,University of Queensland,"Collerson, Kenneth",,,BCR-2,0.39,0.0005,%,,,,,,,,,,,,,
Collerson-2007-Science_B,Li,ICP:MS,Fisons PQ2+,University of Queensland,"Collerson, Kenneth",,,BHVO-1,4.7,1.3,%,254.0,,,,,,,,,,,,
Collerson-2007-Science_B,Be,ICP:MS,Fisons PQ2+,University of Queensland,"Collerson, Kenneth",,,BHVO-1,0.91,2.3,%,254.0,,,,,,,,,,,,
