SAMPLE IDENTIFICATION,,,,,LOCATION,,,,,,,PETROGRAPHIC DESCRIPTION,,ARTEFACT IDENTIFICATION,,,,,ARCHAEOLOGICAL COLLECTION,,,,,SITE IDENTIFICATION,,,,,,,INDIVIDUAL SAMPLE CONDITION AND PREPARATION,,,,,METHOD CODE,PARAMETER,SiO2,TiO2,Al2O3,Fe2O3,FeO,FeOT,CaO,MgO,MnO,K2O,Na2O,P2O5,Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143_Nd144,Nd143_Nd144 SD value,Nd143_Nd144 SD sigma,Sr87_Sr86,Sr87_Sr86 SD value,Sr87_Sr86 SD sigma,Pb206_Pb204,Pb206_Pb204 SD value,Pb206_Pb204 SD sigma,Pb207_Pb204,Pb207_Pb204 SD value,Pb207_Pb204 SD sigma,Pb208_Pb204,Pb208_Pb204 SD value,Pb208_Pb204 SD sigma,Pb207_Pb206,Pb207_Pb206 SD value,Pb207_Pb206 SD sigma,Pb208_Pb206,Pb208_Pb206 SD value,Pb208_Pb206 SD sigma,Age,Age SD sigma
Citation code 1 [Data],Sample name,Pofatu ID,Sample category,Sample comment,Location 1,Location 2,Location 3,Location comment,Latitude,Longitude,Elevation,Petrography,Comments,Citation code 2 [Artefact],Artefact name,Artefact category,Artefact description,Artefact comments,Collector,Fieldwork,Fieldwork date,Collection storage location,Collection comment,Citation 3 [Site],Site name,Site code,Site context,Site comments,Stratigraphic position,Stratigraphy comments,Analyzed material 1,Analyzed material 2,Sample preparation,Chemical treatment,Number of replicates,"[citation code][ _ ][A], [B], etc.",UNIT,%,%,%,%,%,%,%,%,%,%,%,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,,,,,,,,,,,,,,,,,,,,,Ma,
must match TAB 1 COL I,,RESERVED TO ADMIN,see drop-down list,,Archipelago,Island name,Locality,,,,,,,must match TAB 1 COL L,,see drop-down list,see drop-down list,,,Survey OR Excavation,,,,must match TAB 1 COL O,,,see drop-down list,,"Level, Square, etc.",,see drop-down list,see drop-down list,"e.g. crushed in agate mill, sieved at 500 microns",e.g. whole rock samples were dissolved in 0.1M HF + 5.0M HNO3,,must match TAB 5 COL A,Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1σ or 2σ,,,1σ or 2σ,,,1σ or 2σ,,,1σ or 2σ,,,1σ or 2σ,,,1σ or 2σ,,,1σ or 2σ,,2σ
Sinton-1997-Database,TAHINU-3,Sinton-1997-Database_TAHINU-3,SOURCE,,SOCIETY,TAHITI,TAHINU,,-17.651891,-149.451473,400.0,,,Sinton-1997-Database,TAHINU-3,,,,,Survey,,"Bishop Museum, Hawai'i (USA)",,,TAHINU,,QUARRY,,SURFACE,,Whole rock,Core sample,,,,Sinton-1997-Database_A,,44.2459145828285,4.74715452195409,15.7325569733991,,13.0063499107349,,11.1071243622644,5.30504661320938,0.202869851365559,2.00841152851904,3.87481416108218,0.689757494642902,,,,,,,,,,,,,,,18.0,,368.0,0.0,,,,53.0,111.0,107.0,,,,,,43.0,745.0,34.0,312.0,63.0,,,,,,,,,,,,,585.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Sinton-1997-Database,TAHINU-4,Sinton-1997-Database_TAHINU-4,SOURCE,,SOCIETY,TAHITI,TAHINU,,-17.651891,-149.451473,400.0,,,Sinton-1997-Database,TAHINU-4,,,,,Survey,,"Bishop Museum, Hawai'i (USA)",,,TAHINU,,QUARRY,,SURFACE,,Whole rock,Core sample,,,,Sinton-1997-Database_A,,44.1431278662725,4.72672279082789,15.7117888476232,,12.9511897290924,,11.1980728778412,5.45703189155667,0.202863639091326,1.79534320595823,3.87469550664432,0.649163645092243,,,,,,,,,,,,,,,19.0,,390.0,26.0,,,,63.0,117.0,111.0,,,,,,41.0,722.0,32.0,297.0,55.0,,,,,,,,,,,,,643.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Sinton-1997-Database,TAHINU-5,Sinton-1997-Database_TAHINU-5,SOURCE,,SOCIETY,TAHITI,TAHINU,,-17.651891,-149.451473,400.0,,,Sinton-1997-Database,TAHINU-5,,,,,Survey,,"Bishop Museum, Hawai'i (USA)",,,TAHINU,,QUARRY,,SURFACE,,Whole rock,Core sample,,,,Sinton-1997-Database_A,,44.1953792639152,4.10907451833923,15.5840455806643,,13.1006833343815,,10.9270944598799,5.2758487642874,0.213063123173145,2.1407770947397,3.75396931305065,0.700064547568905,,,,,,,,,,,,,,,17.0,,381.0,0.0,,,,53.0,108.0,115.0,,,,,,51.0,711.0,34.0,310.0,59.0,,,,,,,,,,,,,556.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,GB1,Felgate-2001-ANZ_GB1,SOURCE,,NEW_ZEALAND,GREAT_BARRIER_ISLAND,MULBERRY_GROVE_QUARRY,,-36.314888,175.498044,<10,Fine-grained,,Felgate-2001-ANZ,,COBBLE,NATURAL BOULDER/COBBLE,Cobble,M. Felgate,Survey,,"University of Auckland, Anthropology Dept (NZ)",,Felgate-2001-ANZ,MULBERRY GROVE QUARRY,,QUARRY,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,55.09,0.91,18.8,,,7.68436169408682,8.22,4.16,0.17,0.8,2.95,0.11,,,,,,,,,,,,,,,,,255.0,21.0,,,,7.0,46.0,79.0,,,,,,30.0,187.0,33.0,90.0,5.0,,,,,,,,,,,,,190.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,GB2,Felgate-2001-ANZ_GB2,SOURCE,,NEW_ZEALAND,GREAT_BARRIER_ISLAND,MULBERRY_GROVE_QUARRY,,-36.314888,175.498044,<10,Fine-grained,,Felgate-2001-ANZ,,COBBLE,NATURAL BOULDER/COBBLE,Cobble,M. Felgate,Survey,,"University of Auckland, Anthropology Dept (NZ)",,Felgate-2001-ANZ,MULBERRY GROVE QUARRY,,QUARRY,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,55.14,0.91,18.37,,,7.83732908143984,8.21,4.16,0.17,0.77,2.84,0.1,,,,,,,,,,,,,,,,,265.0,21.0,,,,8.0,8.0,104.0,,,,,,28.0,186.0,24.0,90.0,5.0,,,,,,,,,,,,,192.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,H1,Felgate-2001-ANZ_H1,ARTEFACT,,NEW_ZEALAND,NORTH_ISLAND,HOUHORA,,-34.8,173.1,,"Fine-grained, altered olivine",,Felgate-2001-ANZ,,FLAKE,,,,Survey,,"War Memorial Museum, Auckland (NZ)",,Felgate-2001-ANZ,HOUHORA REGION,,NA,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,53.0,1.29,16.75,,,11.4275636434312,8.63,4.17,0.24,0.61,2.95,0.17,,,,,,,,,,,,,,,,,428.0,8.0,,,,0.0,26.0,102.0,,,,,,16.0,281.0,25.0,100.0,6.0,,,,,,,,,,,,,232.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,H2,Felgate-2001-ANZ_H2,ARTEFACT,,NEW_ZEALAND,NORTH_ISLAND,HOUHORA,,-34.8,173.1,,"Fine-grained, altered olivine",,Felgate-2001-ANZ,,FLAKE,,,,Survey,,"War Memorial Museum, Auckland (NZ)",,Felgate-2001-ANZ,HOUHORA REGION,,NA,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,52.72,1.3,16.65,,,11.3015905009052,8.43,4.11,0.24,0.58,2.92,0.16,,,,,,,,,,,,,,,,,434.0,11.0,,,,0.0,32.0,124.0,,,,,,16.0,281.0,25.0,101.0,4.0,,,,,,,,,,,,,223.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,H3,Felgate-2001-ANZ_H3,ARTEFACT,,NEW_ZEALAND,NORTH_ISLAND,HOUHORA,,-34.8,173.1,,"Fine-grained, altered olivine",,Felgate-2001-ANZ,,FLAKE,,,,Survey,,"War Memorial Museum, Auckland (NZ)",,Felgate-2001-ANZ,HOUHORA REGION,,NA,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,52.38,1.03,17.42,,,9.42099144462401,9.84,5.5,0.23,0.41,2.6,0.14,,,,,,,,,,,,,,,,,311.0,7.0,,,,9.0,34.0,96.0,,,,,,13.0,272.0,22.0,84.0,5.0,,,,,,,,,,,,,169.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,H4,Felgate-2001-ANZ_H4,ARTEFACT,,NEW_ZEALAND,NORTH_ISLAND,HOUHORA,,-34.8,173.1,,"Fine-grained, altered olivine",,Felgate-2001-ANZ,,FLAKE,,,,Survey,,"War Memorial Museum, Auckland (NZ)",,Felgate-2001-ANZ,HOUHORA REGION,,NA,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,52.71,1.02,17.34,,,9.79891087220205,9.85,5.5,0.19,0.43,2.58,0.14,,,,,,,,,,,,,,,,,295.0,21.0,,,,8.0,29.0,97.0,,,,,,14.0,274.0,24.0,88.0,5.0,,,,,,,,,,,,,175.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,H5,Felgate-2001-ANZ_H5,ARTEFACT,,NEW_ZEALAND,NORTH_ISLAND,HOUHORA,,-34.8,173.1,,"Fine-grained, altered olivine",,Felgate-2001-ANZ,,FLAKE,,,,Survey,,"War Memorial Museum, Auckland (NZ)",,Felgate-2001-ANZ,HOUHORA REGION,,NA,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,52.33,1.3,16.68,,,10.9776595629812,8.48,4.26,0.23,0.59,3.02,0.17,,,,,,,,,,,,,,,,,429.0,13.0,,,,0.0,10.0,114.0,,,,,,16.0,276.0,28.0,99.0,5.0,,,,,,,,,,,,,223.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,T01a,Felgate-2001-ANZ_T01a,SOURCE,,NEW_ZEALAND,NORTH_ISLAND,TAHANGA,Top of Tahanga Hill,-36.728463,175.809356,200.0,Medium-grained,,Felgate-2001-ANZ,,GEOLOGICAL,NATURAL BOULDER/COBBLE,Larger boulder,M. Felgate,Survey,,"University of Auckland, Anthropology Dept (NZ)",,Felgate-2001-ANZ,TAHANGA COMPLEX,,NATURAL,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,T01b,Felgate-2001-ANZ_T01b,SOURCE,,NEW_ZEALAND,NORTH_ISLAND,TAHANGA,Top of Tahanga Hill,-36.728463,175.809356,200.0,Coarse-grained,,Felgate-2001-ANZ,,GEOLOGICAL,NATURAL BOULDER/COBBLE,Larger boulder,M. Felgate,Survey,,"University of Auckland, Anthropology Dept (NZ)",,Felgate-2001-ANZ,TAHANGA COMPLEX,,NATURAL,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,T02a,Felgate-2001-ANZ_T02a,SOURCE,,NEW_ZEALAND,NORTH_ISLAND,TAHANGA,Working floor 3,-36.728195,175.808597,165.0,Fine-grained,,Felgate-2001-ANZ,,COBBLE,,Flaked cobble,M. Felgate,Survey,,"University of Auckland, Anthropology Dept (NZ)",,Felgate-2001-ANZ,TAHANGA COMPLEX,T10/166,WORKSHOP,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,52.24,1.02,17.38,,,9.76291854576604,9.52,5.52,0.22,0.47,2.45,0.14,,,,,,,,,,,,,,,,,299.0,18.0,,,,10.0,33.0,83.0,,,,,,20.0,269.0,29.0,83.0,5.0,,,,,,,,,,,,,199.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,T02b,Felgate-2001-ANZ_T02b,SOURCE,,NEW_ZEALAND,NORTH_ISLAND,TAHANGA,Working floor 3,-36.728195,175.808597,165.0,Medium-grained,,Felgate-2001-ANZ,,GEOLOGICAL,NATURAL BOULDER/COBBLE,Cobble,M. Felgate,Survey,,"University of Auckland, Anthropology Dept (NZ)",,Felgate-2001-ANZ,TAHANGA COMPLEX,T10/166,WORKSHOP,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,T03,Felgate-2001-ANZ_T03,SOURCE,,NEW_ZEALAND,NORTH_ISLAND,TAHANGA,Working floor 5,-36.727615,175.808636,150.0,Fine-grained,,Felgate-2001-ANZ,,FLAKE,,,M. Felgate,Survey,,"University of Auckland, Anthropology Dept (NZ)",,Felgate-2001-ANZ,TAHANGA COMPLEX,T10/166,WORKSHOP,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,T04,Felgate-2001-ANZ_T04,SOURCE,,NEW_ZEALAND,NORTH_ISLAND,TAHANGA,Working floor 5,-36.727206,175.808941,170.0,Fine-grained,,Felgate-2001-ANZ,,GEOLOGICAL,NATURAL BOULDER/COBBLE,Cobble,M. Felgate,Survey,,"University of Auckland, Anthropology Dept (NZ)",,Felgate-2001-ANZ,TAHANGA COMPLEX,T10/166,WORKSHOP,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,T05a,Felgate-2001-ANZ_T05a,SOURCE,,NEW_ZEALAND,NORTH_ISLAND,TAHANGA,Working floor 5,-36.727222,175.809421,170.0,Fine-grained,,Felgate-2001-ANZ,,COBBLE,,Flaked cobble,M. Felgate,Survey,,"University of Auckland, Anthropology Dept (NZ)",,Felgate-2001-ANZ,TAHANGA COMPLEX,T10/166,WORKSHOP,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,T05b,Felgate-2001-ANZ_T05b,SOURCE,,NEW_ZEALAND,NORTH_ISLAND,TAHANGA,Working floor 5,-36.727222,175.809421,170.0,Fine-grained,,Felgate-2001-ANZ,,COBBLE,,Flaked cobble,M. Felgate,Survey,,"University of Auckland, Anthropology Dept (NZ)",,Felgate-2001-ANZ,TAHANGA COMPLEX,T10/166,WORKSHOP,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,51.93,1.02,17.12,,,9.69093389289404,9.76,5.73,0.22,0.5,2.62,0.14,,,,,,,,,,,,,,,,,289.0,19.0,,,,8.0,26.0,87.0,,,,,,12.0,275.0,28.0,84.0,5.0,,,,,,,,,,,,,171.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,T06,Felgate-2001-ANZ_T06,SOURCE,,NEW_ZEALAND,NORTH_ISLAND,TAHANGA,Above T07 (T10/400),-36.726143,175.810034,90.0,Coarse-grained,,Felgate-2001-ANZ,,GEOLOGICAL,NATURAL BOULDER/COBBLE,Boulder,M. Felgate,Survey,,"University of Auckland, Anthropology Dept (NZ)",,Felgate-2001-ANZ,TAHANGA COMPLEX,,NATURAL,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,T07a,Felgate-2001-ANZ_T07a,SOURCE,,NEW_ZEALAND,NORTH_ISLAND,TAHANGA,Upper working-floor,-36.725295,175.809872,50.0,Fine-grained,,Felgate-2001-ANZ,,FLAKE,,,M. Felgate,Survey,,"University of Auckland, Anthropology Dept (NZ)",,Felgate-2001-ANZ,TAHANGA COMPLEX,T10/400,WORKSHOP,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,52.24,1.02,17.26,,,8.88110654808395,9.71,5.62,0.22,0.41,2.6,0.14,,,,,,,,,,,,,,,,,316.0,23.0,,,,7.0,31.0,86.0,,,,,,11.0,266.0,22.0,83.0,7.0,,,,,,,,,,,,,180.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,T07b,Felgate-2001-ANZ_T07b,SOURCE,,NEW_ZEALAND,NORTH_ISLAND,TAHANGA,Upper working-floor,-36.725295,175.809872,50.0,Fine-grained,,Felgate-2001-ANZ,,GEOLOGICAL,NATURAL BOULDER/COBBLE,Cobble,M. Felgate,Survey,,"University of Auckland, Anthropology Dept (NZ)",,Felgate-2001-ANZ,TAHANGA COMPLEX,T10/400,WORKSHOP,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,T08,Felgate-2001-ANZ_T08,SOURCE,,NEW_ZEALAND,NORTH_ISLAND,TAHANGA,North slope of Tahanga peak,-36.725959,175.810855,85.0,Medium-grained,,Felgate-2001-ANZ,,GEOLOGICAL,NATURAL BOULDER/COBBLE,Cobble,M. Felgate,Survey,,"University of Auckland, Anthropology Dept (NZ)",,Felgate-2001-ANZ,TAHANGA COMPLEX,,NATURAL,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,T09a,Felgate-2001-ANZ_T09a,SOURCE,,NEW_ZEALAND,NORTH_ISLAND,TAHANGA,East face of Tahanga hill,-36.727754,175.811033,140.0,Medium-grained,,Felgate-2001-ANZ,,GEOLOGICAL,,Outcrop,M. Felgate,Survey,,"University of Auckland, Anthropology Dept (NZ)",,Felgate-2001-ANZ,TAHANGA COMPLEX,,NATURAL,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,T09b,Felgate-2001-ANZ_T09b,SOURCE,,NEW_ZEALAND,NORTH_ISLAND,TAHANGA,East face of Tahanga hill,-36.727754,175.811033,140.0,Medium to fine-grained,,Felgate-2001-ANZ,,GEOLOGICAL,,Outcrop,M. Felgate,Survey,,"University of Auckland, Anthropology Dept (NZ)",,Felgate-2001-ANZ,TAHANGA COMPLEX,,NATURAL,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,T10a,Felgate-2001-ANZ_T10a,SOURCE,,NEW_ZEALAND,NORTH_ISLAND,TAHANGA,Outcrop east face,-36.72832,175.81074,155.0,Medium to fine-grained,,Felgate-2001-ANZ,,GEOLOGICAL,,Outcrop,M. Felgate,Survey,,"University of Auckland, Anthropology Dept (NZ)",,Felgate-2001-ANZ,TAHANGA COMPLEX,T10/401,NATURAL,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,T10b,Felgate-2001-ANZ_T10b,SOURCE,,NEW_ZEALAND,NORTH_ISLAND,TAHANGA,Outcrop east face,-36.72832,175.81074,155.0,Medium to fine-grained,,Felgate-2001-ANZ,,GEOLOGICAL,,Outcrop,M. Felgate,Survey,,"University of Auckland, Anthropology Dept (NZ)",,Felgate-2001-ANZ,TAHANGA COMPLEX,T10/401,NATURAL,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,52.41,1.02,17.67,,,9.53796650554102,9.53,5.59,0.2,0.45,2.74,0.14,,,,,,,,,,,,,,,,,312.0,17.0,,,,12.0,25.0,85.0,,,,,,12.0,268.0,23.0,86.0,4.0,,,,,,,,,,,,,176.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,T10c,Felgate-2001-ANZ_T10c,SOURCE,,NEW_ZEALAND,NORTH_ISLAND,TAHANGA,Outcrop east face,-36.72832,175.81074,155.0,Medium-grained,,Felgate-2001-ANZ,,FLAKE,,,M. Felgate,Survey,,"University of Auckland, Anthropology Dept (NZ)",,Felgate-2001-ANZ,TAHANGA COMPLEX,T10/401,WORKSHOP,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,51.79,1.01,17.06,,,9.57395883197702,9.5,5.57,0.22,0.44,2.74,0.13,,,,,,,,,,,,,,,,,310.0,21.0,,,,11.0,14.0,85.0,,,,,,11.0,268.0,29.0,80.0,4.0,,,,,,,,,,,,,179.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,T11a,Felgate-2001-ANZ_T11a,SOURCE,,NEW_ZEALAND,NORTH_ISLAND,TAHANGA,Road south of Tahanga bisects working-floor,-36.729997,175.809584,160.0,Fine-grained,,Felgate-2001-ANZ,,GEOLOGICAL,NATURAL BOULDER/COBBLE,Cobble,M. Felgate,Survey,,"University of Auckland, Anthropology Dept (NZ)",,Felgate-2001-ANZ,TAHANGA COMPLEX,T10/459,WORKSHOP,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,54.56,1.04,17.25,,,8.93509503773795,7.99,4.07,0.2,0.73,3.01,0.16,,,,,,,,,,,,,,,,,282.0,10.0,,,,8.0,22.0,103.0,,,,,,21.0,289.0,34.0,107.0,5.0,,,,,,,,,,,,,267.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,T11b,Felgate-2001-ANZ_T11b,SOURCE,,NEW_ZEALAND,NORTH_ISLAND,TAHANGA,Road bisects working-floor,-36.729997,175.809584,160.0,Fine-grained,,Felgate-2001-ANZ,,FLAKE,,,M. Felgate,Survey,,"University of Auckland, Anthropology Dept (NZ)",,Felgate-2001-ANZ,TAHANGA COMPLEX,T10/459,WORKSHOP,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,53.83,1.04,17.32,,,8.98008544578296,8.16,4.35,0.18,0.65,3.13,0.16,,,,,,,,,,,,,,,,,277.0,7.0,,,,7.0,16.0,87.0,,,,,,20.0,296.0,38.0,108.0,6.0,,,,,,,,,,,,,259.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Felgate-2001-ANZ,T12a,Felgate-2001-ANZ_T12a,SOURCE,,NEW_ZEALAND,NORTH_ISLAND,TAHANGA,Road cutting south of Tahanga,-36.730323,175.810697,160.0,Fine-grained,,Felgate-2001-ANZ,,GEOLOGICAL,NATURAL BOULDER/COBBLE,Cobble,M. Felgate,Survey,,"University of Auckland, Anthropology Dept (NZ)",,Felgate-2001-ANZ,TAHANGA COMPLEX,,NATURAL,,SURFACE,,Whole rock,Core sample,,,,Felgate-2001-ANZ_A,,54.77,1.06,17.7,,,8.67415067107693,8.55,4.56,0.2,0.69,3.03,0.16,,,,,,,,,,,,,,,,,336.0,5.0,,,,4.0,35.0,91.0,,,,,,20.0,297.0,25.0,107.0,5.0,,,,,,,,,,,,,268.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,13.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,
